no,name,start,end,labelpos,arrpos
22,a3i,XW,Mi,0.5,0.9
22,b3i,MiV,Y,0.5,0.78
22,c3,XW,Y,0.5,0.78
22,c2,W,Y,0.5,0.78
23,a1i,X,Mi,0.5,0.8
23,b1i,Mi,Y,0.5,0.82
23,a2i,W,Mi,0.5,0.84
23,a3i,Z,Mi,0.5,0.87
23,c,X,Y,0.5,0.85
23,a4i,XW,Mi,0.5,0.89
23,a5i,XZ,Mi,0.5,0.89
23,b2,V,Y,0.5,0.78
23,b3i,MiV,Y,0.5,0.78
24,a1i,X,Mi,0.5,0.8
24,b1i,Mi,Y,0.5,0.82
24,a2i,W,Mi,0.5,0.84
24,a3i,Z,Mi,0.5,0.87
24,c1,X,Y,0.5,0.86
24,a4i,XW,Mi,0.5,0.89
24,a5i,XZ,Mi,0.5,0.89
24,b2,V,Y,0.5,0.78
24,b3i,MiV,Y,0.5,0.78
24,c2,W,Y,0.5,0.86
24,c3,Z,Y,0.5,0.86
24,c4,XW,Y,0.5,0.84
24,c5,XZ,Y,0.5,0.81
28,a1i,X,Mi,0.5,0.8
28,b1i,Mi,Y,0.5,0.82
28,a2i,W,Mi,0.5,0.84
28,a3i,XW,Mi,0.5,0.87
28,c1,X,Y,0.5,0.85
28,c3,XV,Y,0.5,0.82
28,c2,V,Y,0.5,0.78
28,b2i,MiV,Y,0.5,0.78
29,a1i,X,Mi,0.5,0.8
29,b1i,Mi,Y,0.5,0.82
29,a2i,W,Mi,0.5,0.84
29,a3i,XW,Mi,0.5,0.87
29,c1,X,Y,0.5,0.85
29,c3,V,Y,0.5,0.82
29,c2,W,Y,0.5,0.78
29,b2i,MiV,Y,0.5,0.78
29,c4,XW,Y,0.5,0.78
29,c5,XV,Y,0.5,0.78
30,a1i,X,Mi,0.5,0.8
30,b1i,Mi,Y,0.5,0.82
30,a2i,W,Mi,0.5,0.84
30,a3i,Z,Mi,0.5,0.87
30,c,X,Y,0.5,0.85
30,a4i,XW,Mi,0.5,0.89
30,a5i,XZ,Mi,0.5,0.89
30,c2,V,Y,0.5,0.84
30,b2i,MiV,Y,0.5,0.84
30,c3,XV,Y,0.5,0.84
31,a1i,X,Mi,0.5,0.8
31,b1i,Mi,Y,0.5,0.82
31,a2i,W,Mi,0.5,0.84
31,a3i,Z,Mi,0.5,0.87
31,c,X,Y,0.5,0.85
31,a4i,XW,Mi,0.5,0.89
31,a5i,XZ,Mi,0.5,0.89
31,c2,W,Y,0.5,0.84
31,b2i,MiV,Y,0.5,0.84
31,c3,Z,Y,0.5,0.84
31,c4,XW,Y,0.5,0.84
31,c5,XZ,Y,0.5,0.84
31,c6,V,Y,0.5,0.84
31,c7,XV,Y,0.5,0.84
32,a1i,X,Mi,0.5,0.74
32,b1i,Mi,Y,0.5,0.82
32,a2i,W,Mi,0.5,0.8
32,a3i,XW,Mi,0.5,0.84
32,c,X,Y,0.5,0.85
32,b2,V,Y,0.5,0.84
32,b3,Q,Y,0.5,0.84
32,b4i,MiV,Y,0.5,0.84
32,b5i,MiQ,Y,0.5,0.84
36,a1i,X,Mi,0.5,0.74
36,b1i,Mi,Y,0.5,0.82
36,a2i,W,Mi,0.5,0.8
36,a3i,XW,Mi,0.5,0.84
36,c1,X,Y,0.5,0.85
36,c2,V,Y,0.5,0.84
36,c3,Q,Y,0.5,0.84
36,b2i,MiV,Y,0.5,0.84
36,b3i,MiQ,Y,0.5,0.84
36,c4,XV,Y,0.5,0.84
36,c5,XQ,Y,0.5,0.84
40,a1i,X,Mi,0.5,0.74
40,b1i,Mi,Y,0.5,0.82
40,a2i,W,Mi,0.5,0.8
40,a3i,XW,Mi,0.5,0.84
40,c1,X,Y,0.5,0.85
40,b2,V,Y,0.5,0.84
40,b3,Q,Y,0.5,0.84
40,b4i,MiV,Y,0.5,0.84
40,b5i,MiQ,Y,0.5,0.84
40,c2,W,Y,0.5,0.84
40,c3,XW,Y,0.5,0.84
41,a1i,X,Mi,0.5,0.74
41,b1i,Mi,Y,0.5,0.82
41,a2i,W,Mi,0.5,0.8
41,a3i,XW,Mi,0.5,0.84
41,c1,X,Y,0.5,0.85
41,c2,W,Y,0.5,0.84
41,c3,XW,Y,0.5,0.84
41,c4,V,Y,0.5,0.84
41,c5,Q,Y,0.5,0.84
41,b2i,MiV,Y,0.5,0.84
41,b3i,MiQ,Y,0.5,0.84
41,c6,XV,Y,0.5,0.84
41,c7,XQ,Y,0.5,0.84
45,a1i,X,Mi,0.5,0.74
45,b1i,Mi,Y,0.5,0.82
45,a2i,W,Mi,0.5,0.8
45,a3i,Z,Mi,0.5,0.85
45,c,X,Y,0.5,0.85
45,a4i,XW,Mi,0.5,0.86
45,a5i,XZ,Mi,0.5,0.89
45,b2,V,Y,0.5,0.84
45,b3,Q,Y,0.5,0.84
45,b4i,MiV,Y,0.5,0.84
45,b5i,MiQ,Y,0.5,0.84
49,a1i,X,Mi,0.5,0.74
49,b1i,Mi,Y,0.5,0.82
49,a2i,W,Mi,0.5,0.8
49,a3i,Z,Mi,0.5,0.85
49,c1,X,Y,0.5,0.85
49,a4i,XW,Mi,0.5,0.86
49,a5i,XZ,Mi,0.5,0.89
49,b2,V,Y,0.5,0.84
49,b3,Q,Y,0.5,0.84
49,b4i,MiV,Y,0.5,0.84
49,b5i,MiQ,Y,0.5,0.84
49,c2,W,Y,0.5,0.84
49,c3,Z,Y,0.5,0.84
49,c4,XW,Y,0.5,0.84
49,c5,XZ,Y,0.5,0.84
50,a1i,X,Mi,0.5,0.74
50,b1i,Mi,Y,0.5,0.82
50,a2i,W,Mi,0.5,0.8
50,a3i,Z,Mi,0.5,0.85
50,c1,X,Y,0.5,0.85
50,a4i,XW,Mi,0.5,0.86
50,a5i,XZ,Mi,0.5,0.89
50,c2,V,Y,0.5,0.84
50,c3,Q,Y,0.5,0.84
50,b2i,MiV,Y,0.5,0.84
50,b3i,MiQ,Y,0.5,0.84
50,c4,XV,Y,0.5,0.84
50,c5,XQ,Y,0.5,0.84
51,a1i,X,Mi,0.5,0.78
51,b1i,Mi,Y,0.5,0.82
51,a2i,W,Mi,0.5,0.84
51,a3i,XW,Mi,0.5,0.87
51,c,X,Y,0.5,0.85
51,b2,W,Y,0.5,0.84
51,b3,MiW,Y,0.5,0.82
